0	1	0	0	whose father is Aegon I Targaryen	:Aegon_I_Targaryen	:Maegor_Targaryen,:Aenys_Targaryen
0	1	0	0	allegiance of Aegon I Targaryen	:Aegon_I_Targaryen	:House_Targaryen
1	1	0	0	whose allegiance is Aegon I Targaryen	:Aegon_I_Targaryen	:Balerion
2	1	0	0	whose sibling is Aegon I Targaryen	:Aegon_I_Targaryen	:Orys_Baratheon,:Visenya_Targaryen,:Rhaenys_Targaryen_(sister_of_Aegon_I)
0	1	0	0	side two participant of Coup in Dorne	:Coup_in_Dorne	:Tyene_Sand,:Nymeria_Sand,:Obara_Sand
0	1	0	0	what first side of Coup in Dorne is	:Coup_in_Dorne	:House_Martell
1	1	0	0	first side leader of Coup in Dorne	:Coup_in_Dorne	:Doran_Martell
2	1	0	0	what was followed by Coup in Dorne	:Coup_in_Dorne	:Assassination_of_Myrcella_Baratheon
0	1	0	0	episode where Janos Slynt died	:Janos_Slynt	:High_Sparrow_(episode)
0	1	0	0	the season that Janos Slynt appeared in	:Janos_Slynt	:Season_1,:Season_4,:Season_2,:Season_5
1	1	0	0	whose predecessor is Janos Slynt	:Janos_Slynt	:King's_Landing,:Petyr_Baelish,:Bronn,:City_Watch
2	1	0	0	title of Janos Slynt	:Janos_Slynt	:City_Watch
2	1	0	0	whose title is Lord of the Seven Kingdoms	:Lord_of_the_Seven_Kingdoms	:Robert_Baratheon,:Daenerys_Targaryen,:Stannis_Baratheon,:Joffrey_Baratheon,:Aerys_II_Targaryen,:Tommen_Baratheon,:Aegon_III_Targaryen,:Renly_Baratheon,:Aegon_II_Targaryen,:Aegon_IV_Targaryen,:Maekar_Targaryen,:Aegon_I_Targaryen,:Daemon_I_Blackfyre,:Aegon_V_Targaryen,:Viserys_II_Targaryen,:Baelor_Targaryen,:Maegor_Targaryen,:Viserys_I_Targaryen,:Viserys_Targaryen,:Aerys_I_Targaryen,:Aenys_Targaryen,:Jaehaerys_I_Targaryen,:Maelys_Blackfyre
0	1	0	0	episode where Xaro Xhoan Daxos died	:Xaro_Xhoan_Daxos	:Valar_Morghulis
0	1	0	0	lover of Xaro Xhoan Daxos	:Xaro_Xhoan_Daxos	:Doreah
1	1	0	0	place of Xaro Xhoan Daxos	:Xaro_Xhoan_Daxos	:Qarth,:Summer_Islands
2	1	0	0	died from Xaro Xhoan Daxos	:Xaro_Xhoan_Daxos	:Doreah,:Irri
0	1	0	0	died from Unsullied	:Unsullied	:Greizhen_mo_Ullhor
0	1	0	0	whose second side force is Unsullied	:Unsullied	:Battle_of_Qohor
1	1	0	0	whose allegiance is Unsullied	:Unsullied	:Grey_Worm,:White_Rat,:Unsullied_1_(Valar_Dohaeris)
2	1	0	0	Unsullied is military of	:Unsullied	:Qohor
0	1	0	0	what is after Fall of Winterfell	:Fall_of_Winterfell	:Riot_of_King's_Landing
0	1	0	0	what first side of Fall of Winterfell is	:Fall_of_Winterfell	:House_Greyjoy
1	1	0	0	side one commander of Fall of Winterfell	:Fall_of_Winterfell	:Theon_Greyjoy,:Dagmer
2	1	0	0	Fall of Winterfell is a battle of	:Fall_of_Winterfell	:War_of_the_Five_Kings
0	1	0	0	the season that Rakharo appeared in	:Rakharo	:Season_1,:Season_2
0	1	0	0	culture of Rakharo	:Rakharo	:Dothraki
1	1	0	0	episode where Rakharo died	:Rakharo	:The_Night_Lands
2	1	0	0	religion of Rakharo	:Rakharo	:Great_Stallion
0	1	0	0	whose sibling is Elissa Forrester	:Elissa_Forrester	:Malcolm_Branfield
