a,b,c,d
4.573834539471902758e+02,3.483662013767281564e+02,3.897339160754529530e+02,4.925334817054394421e+02
7.990141102265121731e+01,1.467386563500590455e+02,1.325982934356466671e+02,8.890318875539250598e+01
1.456399265022357952e+02,2.159130045025942195e+02,2.546724028261772901e+02,2.381711469263537140e+02
3.061301686350071236e+02,1.697560773916793551e+02,2.833073325317262743e+02,3.464046993754601544e+02
1.769956438765331995e+03,1.829903062455348163e+03,1.554596006206737911e+03,1.486921270839559156e+03
3.923975183943636580e+02,5.580343866669272757e+02,5.742425260042354012e+02,5.228878196332442485e+02
1.243712003482095270e+02,1.265596096944070723e+02,1.289312372594640408e+02,1.374865953401426566e+02
7.122816998078110373e+01,2.086590190843394907e+02,5.772916193835488485e+01,9.036645966237216498e+01
1.220589400557318811e+02,9.323124764905035988e+01,5.425375600051249592e+01,1.143876768037545730e+02
1.047582299580794142e+03,1.109540213778344196e+03,1.249336637155448670e+03,1.311294551352998951e+03
9.446153094680738604e+02,9.170861176947257718e+02,1.036348545895070401e+03,1.008819354121722199e+03
1.048561827457899938e+02,1.782793719250784079e+02,2.653984884154174324e+02,2.305537002142689857e+02
3.787102266521426372e+02,6.661407357023816758e+02,3.650467999944269764e+02,5.048801980631255901e+02
6.402262713609575258e+02,7.987577302422940875e+02,7.499673935343365656e+02,9.244529012826010330e+02
1.194353888785966262e+02,2.524255534534620438e+02,1.385213243034588118e+02,1.825273382474760808e+02
6.276236860645734339e+01,9.181196401859875778e+01,6.538071163112761042e+01,5.073401896979483183e+01
5.824364170290426728e+02,4.678515443861828658e+02,6.391803988356118680e+02,6.336071354899427206e+02
7.488463010612565540e+02,0.000000000000000000e+00,7.622254307437060561e+02,-1.794825140514659267e+02
4.722004839465071200e+02,5.817918528711945783e+02,7.760294489807566833e+02,6.840569831570352335e+02
1.662798294152354970e+02,2.133513695710306308e+02,2.365611376394462866e+02,1.997973309710211822e+02
2.992617758971735498e+02,4.030352061976883533e+02,5.463484704014272211e+02,5.384323919693277958e+02
7.332771241650748095e+01,1.591270291188801025e+02,1.819615795568231533e+02,1.057715214253627778e+02
1.484032176566926182e+02,3.214228347329382132e+02,4.581981239938614294e+02,2.910153114721612155e+02
3.496128086826528829e+02,6.987465197416635192e+02,3.526343676614091578e+02,5.416738854602787114e+02
2.882412603995549034e+02,2.806115202057090414e+02,3.305055135358634857e+02,2.957217859563934894e+02
1.031117199504283008e+03,1.334426441981411472e+03,1.229964921606842381e+03,1.833790746827973635e+03
1.931713454396289080e+02,1.289136241851026909e+02,1.439895856971035073e+02,1.442657486935203792e+02
7.719007345160694911e+01,8.334688241622731653e+01,1.244170606480173689e+02,9.025044751124376319e+01
6.847590196719603455e+02,7.650927319694754942e+02,6.035865068018987358e+02,6.230550527493902564e+02
