a,b,c,d
9.969071739590123116e+01,9.792361595708530331e+01,1.139785261945697812e+02,9.078297497951245987e+01
8.603306536155205464e+00,2.063400136336103330e+01,2.081894637239568269e+01,1.152834000227723799e+01
4.487550903078358999e+01,6.536122950160181233e+01,4.459119757450022803e+01,5.194109311828148634e+01
4.649296490804729842e+01,2.639401500886631879e+01,3.993980136128190850e+01,5.068008662566197131e+01
1.051401220556944907e+02,1.034314468598202836e+02,8.991671371385724854e+01,8.968795287512776326e+01
8.805889411718231941e+01,9.000766271060675194e+01,9.861760044496965349e+01,8.625175111872852085e+01
5.241166198146882493e+01,2.097243049532202619e+01,3.406112961921601112e+01,2.155919193750768414e+01
2.044895131354726914e+01,2.981584560692935071e+01,1.392057608129389656e+01,2.554420752135503747e+01
2.881147397792689446e+01,2.022816486013638126e+01,1.604714115413410624e+01,2.766728661513811005e+01
7.502129254185683749e+01,8.649157341537681987e+01,8.291774020540724166e+01,9.190624917771188507e+01
1.066172303060337470e+02,1.087844550883697536e+02,1.134767509819333782e+02,1.180909584117329416e+02
9.703118574888673464e+00,2.882245779122867546e+01,2.849072773225721988e+01,2.873213029932767526e+01
1.002038495578607495e+02,1.185188238299155614e+02,3.907965924145749170e+01,7.821463142565232829e+01
1.072774236167732198e+02,1.187709684370861680e+02,1.129781258676016762e+02,1.333110052047329361e+02
2.470838970641239740e+01,4.410720948418287435e+01,2.757376507416640266e+01,3.058369705665080573e+01
1.211706397308487837e+01,2.288397951664845564e+01,1.425842582024425020e+01,9.617863272252119344e+00
4.922131064559267344e+01,3.613332058721094597e+01,4.995653617986762640e+01,4.484511638338516093e+01
1.214208293763912394e+02,0.000000000000000000e+00,1.166936197437216123e+02,-2.060047332453104829e+01
5.419927547848821092e+01,5.394009319308227646e+01,8.440807939326722931e+01,8.630046933912475993e+01
5.152312600015314814e+01,2.947349743655218290e+01,3.428336310964125744e+01,3.262904731935676494e+01
7.725637265097719819e+01,8.613176810774781700e+01,1.094092431800090992e+02,1.512409897725788426e+02
9.676951508536856039e+00,3.510381543965925033e+01,4.484545865427372746e+01,1.732327360266180349e+01
1.144673317506539689e+01,2.509080466897903605e+01,2.407278243400283202e+01,2.884457099813815262e+01
5.420326901445569945e+01,5.872230077721091135e+01,3.383313757862407556e+01,5.633634318669042074e+01
3.065740522779478994e+01,3.166761486655182978e+01,3.110219921541076005e+01,3.519830311690879654e+01
1.132251093136363522e+02,1.589568684033249042e+02,1.569620932878628423e+02,1.608950156470848185e+02
2.014374124267397548e+01,2.287050247644609158e+01,2.277206112545497518e+01,2.356473543171780705e+01
2.842532847862164758e+01,3.246950551928144080e+01,2.392939145117733091e+01,2.132227222513371601e+01
6.795486415531016178e+01,8.112666241833241543e+01,6.036057388773863153e+01,8.971482005598825538e+01
6.792417909258944064e+01,6.320196507529411178e+01,5.642963940794401623e+01,4.713651169967022980e+01
9.879972435704326017e+01,8.562160975642368044e+01,1.068335602753402327e+02,1.105619216902721575e+02
1.989935302412531826e+01,1.687070780253322866e+01,3.241612869593010515e+01,3.365514152607295273e+01
5.983341595639574706e+01,6.160483128351122417e+01,7.688802076472788372e+01,7.065659748532668516e+01
7.052017292306184970e+01,6.191529122181860600e+01,6.621025674117761639e+01,5.908410375015177607e+01
1.546015615742953564e+01,2.231366348693575929e+01,2.805304551424313786e+01,1.989122547015408671e+01
4.342080297293534841e+01,2.591726793511126914e+01,2.582870824359525486e+01,2.434422177308947255e+01
3.273060400548765614e+01,3.214435906748275329e+01,6.733949194315293596e+01,6.881203974224926867e+01
2.747167178920981101e+01,2.187539241229206155e+01,4.577015897548871237e+01,2.557103322129204415e+01
7.555854442208810440e+01,5.977236532750131914e+01,4.095808935059437772e+01,6.014700306637748639e+01
1.379244067110127787e+02,1.319680805188593808e+02,1.277606249634846165e+02,1.226362266387995277e+02
1.619269640386426090e+01,1.496796462378608794e+01,1.975439698433322278e+01,1.755797611107511713e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.480704659956435965e+00,-3.278988646133102591e+00
5.785340980255425336e+01,6.487046343265366488e+01,7.634711990010863758e+01,8.954495054010561716e+01
1.174266498765507407e+02,1.860253284190531531e+02,1.866024208436250831e+02,1.847262791313225421e+02
2.958985336692503409e+01,3.385701196655571721e+01,1.994858075624004812e+01,1.842074062224969921e+01
6.595774605528342249e+01,5.804721642971443174e+01,8.698687557941138948e+01,6.100807936772884688e+01
1.421761629988024254e+02,1.112863367952521116e+02,1.048902433766361781e+02,1.295625305871356545e+02
5.144488564691673105e+01,5.209412030670059579e+01,4.935694488003092317e+01,4.696619404163140388e+01
4.766425710590756637e+01,4.766425710590756637e+01,4.766425710590756637e+01,4.766425710590758058e+01
4.674303785332760697e+01,4.692582343919637822e+01,5.286930041033066630e+01,4.830860165087551650e+01
1.847328062507355071e+02,1.663860872030020346e+02,1.429975274248486130e+02,1.762840215932947103e+02
5.967987709174122557e+01,5.367316957030728730e+01,8.926386117863805225e+01,6.544760867896373213e+01
3.077407814891443039e+01,6.130596116876687063e+01,3.910228419533248712e+01,3.886368395276035415e+01
5.910284787134114204e+00,1.437227249616877245e+01,8.581783226645537610e+00,1.214586961708857515e+01
5.978841386824753101e+01,6.121131923691579857e+01,5.321321878813743922e+01,5.363804304898101094e+01
9.836744782305797230e+01,7.371570712641783985e+01,1.027234657734064314e+02,1.014789693555828478e+02
3.683896569234156004e+01,4.218185769097726734e+01,2.629487137043348355e+01,3.149955200544965095e+01
7.410891482014187659e+01,6.286997533593310550e+01,6.561704070463635219e+01,6.254399286323570095e+01
6.658619035776544592e+01,6.746232015168041585e+01,6.085376141989743815e+01,7.820608647817675774e+01
1.128763350128295002e+02,3.723619821545349851e+01,1.375680392701605967e+02,9.969062246488175560e+01
2.656348228434217873e+01,2.958107993837506200e+01,3.920933417003888621e+01,3.462634778819482761e+01
5.366032626353799628e+01,3.954272079790902694e+01,6.704012087753120852e+01,5.266163402787853443e+01
1.485505206916388090e+02,1.688831131288476399e+02,1.850902839662205679e+02,5.372550124347278455e+01
2.224056898170776364e+01,3.778783372570961774e+01,2.963349234270947363e+01,3.883169998236996889e+01
2.947529096451604147e+01,2.947271176554361816e+01,6.310016250014824024e+00,2.878425875506484388e+01
0.000000000000000000e+00,1.225038213520878827e+01,1.000487544061463296e+01,1.791170669407201288e+01
3.867509961588257283e+01,4.256120930217376497e+01,2.144305391172560604e+01,3.957135044547903391e+01
5.818204038575078130e+01,2.193772435219890227e+01,2.789863301139880036e+01,0.000000000000000000e+00
1.166399645782350660e+02,7.880480972512317805e+01,1.032650533047932981e+02,7.594549695696903768e+01
9.483411601539640401e+01,1.016494835177803964e+02,7.615862778695603197e+01,1.042005108724437150e+02
1.029763072356367672e+02,8.460675119905693009e+01,1.613513023914994164e+02,2.118719929857149111e+02
5.581787508073937687e+01,6.801611074291899683e+01,5.273949106838374945e+01,5.236665194221129127e+01
8.233614581606231297e+01,7.238301430985457330e+01,7.116968946347780900e+01,5.003509335466064556e+01
1.968125782768046506e+01,3.107858594558432941e+01,2.148542990438660638e+01,2.225461539116863463e+01
5.987655089021750143e+01,6.189022340187189286e+01,5.383286275037254853e+01,5.841299219239090945e+01
4.106963035340044854e+01,8.761661186970346193e+01,7.991121175261987730e+01,5.988792976407167146e+01
4.020895595884176998e+01,2.759170749606660422e+01,1.601109839475252627e+01,3.595122184186267589e+01
