id,qA,qB,qC,qD
102501,43.6993235796,35.2358879505,36.0410637515,38.6908507725
102502,38.6904803687,47.3246690455,42.3411649764,41.6130528695
102503,31.1926446005,42.0030977597,32.7745033692,34.171165943
102504,29.6682338366,34.950234961,37.0879084749,24.4366704638
102505,24.293517213,25.2321739223,24.6442300456,28.4810047207
102506,30.6779251545,29.6355210011,31.3094787482,36.0596772272
102507,40.6273787607,36.0749793774,47.5871218313,39.8258564392
102508,49.4666807297,54.223662152,40.753605316,40.7892645504
102509,35.9453906288,41.7917500752,29.9719916114,33.569772727
102510,38.7662822047,33.1088302447,33.754604063,32.4464444541
102511,45.1201990799,32.703709606,34.565955214,30.4092796549
102512,50.2884419632,58.462124477,57.4853303091,66.0729057655
102513,50.7650285289,37.0316726514,43.7736220875,49.8205738181
102514,37.1437160933,37.1437160933,39.4568380494,40.599833027
102515,34.6044825531,28.6804954191,36.439249227,41.0634906047
102516,37.0573597123,26.0189780482,24.7327689662,26.6530137566
102517,46.0717719994,32.3589040758,32.2710734491,34.6862744575
102518,39.7210751765,39.2624600798,39.2624600798,39.2624600798
102519,28.0045149811,39.8827653706,28.3038710831,28.8184060616
102520,43.7284160226,34.5309601371,36.0390762177,36.2486579782
102521,66.3823532937,70.5093262444,61.167553562,70.7783076391
102522,48.0740870862,52.8215349299,50.3538066705,50.7436147895
102523,49.9183982067,37.0454180464,39.1678669144,37.0454180464
102524,31.4113159232,38.0416754117,24.4713568307,30.1054100107
102525,24.9103436584,23.9000318329,24.063411302,25.578086208
102526,28.1471596319,32.9410980094,24.1184340124,32.1220260224
102527,27.7203886769,31.768838176,53.5757553836,27.0212957091
102528,38.0344870271,34.7452055866,30.7529348812,45.6776372523
102529,40.4227759458,45.1005723056,37.9538369658,44.4849822509
102530,42.5130365961,43.4233954937,40.38716993,43.6169326221
102531,26.9348923414,29.5909508633,25.1509926999,33.5400433896
102532,54.2950926566,51.0380226096,55.0827147068,51.0380226096
102533,43.0113519329,40.5517210111,42.8701634852,40.1584773301
102534,29.3112135951,21.9282047787,20.3400815699,21.9553206585
102535,30.1454716483,25.2034773142,24.9125246205,30.255809811
102536,26.0533500892,31.0613534283,26.813682675,28.7227222797
102537,22.0988942552,30.0218258886,24.5692751686,23.8051350474
102538,45.2977667731,28.9030376005,35.4684256138,28.9030376005
102539,25.3492131523,27.6148770264,22.1015410661,40.1520126235
102540,143.634184903,143.586529588,148.22506774,145.510574777
102541,34.816132215,37.4063476966,38.2455564841,34.816132215
102542,33.8703335963,37.4243826291,38.4876917023,45.3222943738
102543,39.1096814311,37.9425455719,49.7707483112,45.2896881524
102544,28.6607728259,28.7436200874,44.9514813766,56.9775243712
102545,71.8856979082,69.9438954844,77.193364726,87.6780095676
