id,qA,qB,qC,qD
100001,39.139337428,39.005968466,39.139337428,46.0754738181
100002,25.8708440127,25.4826972169,25.4826972169,25.4826972169
100003,45.8920479469,43.8749489502,50.3371896149,49.6896204899
100004,27.2662668368,41.4483673882,25.8076514017,34.0254475254
100005,27.0648039298,28.7427350147,32.3008052925,30.3939343639
100006,39.8607014989,39.2545719553,40.2263467832,39.6197763068
100007,24.0935450491,22.8406950958,25.8512169449,22.5308429142
100008,20.7175436456,28.0351005206,23.0820753069,21.4612271974
100009,24.7121383267,24.7121383267,24.7121383267,24.7121383267
100010,41.8460714323,41.8460714323,47.8706121998,40.4911840095
100011,39.3902997325,39.3902997325,46.9176803972,39.7703041948
100012,27.2779031377,27.5010655961,27.6131785899,37.4842880325
100013,41.4331121543,37.2420711628,32.2368990179,34.2416916326
100014,29.4171077538,30.3340996991,29.4976391656,29.4171077538
100015,40.5140659027,40.6090971144,35.8392245112,35.8392245112
100016,20.9778746847,26.2631426403,20.6065329693,24.5971077982
100017,38.8749535028,38.8749535028,39.0074538659,39.1261313377
100018,41.0525696424,41.0525696424,41.0525696424,41.0525696424
100019,34.7167004213,34.8910143377,34.2821060347,34.2821060347
100020,27.2798372393,30.7920996984,24.5199812701,26.8317079267
100021,50.0412838466,50.0412838466,50.0412838466,50.1094066275
100022,22.7153942615,25.7209606092,28.5671237896,24.6317398732
100023,30.6968307586,35.9141887099,39.7134457498,23.6136830805
100024,39.5655204805,39.9950562184,40.5111450884,39.5655204805
100025,30.0809335309,26.9906108601,28.0432120863,25.6595313149
100026,44.379814698,44.3146229318,44.379814698,44.379814698
100027,24.8232591827,24.3848838885,27.0519556158,32.1221679147
100028,45.4011682949,45.4011682949,45.4011682949,45.4011682949
100029,34.6312059817,43.4646318752,40.4761846057,34.4984023491
100030,29.2101499012,28.1130341663,29.7407478665,28.8816423741
100031,29.3893293728,29.4694318824,27.667520538,35.55720444
100032,23.7490537202,21.3320065771,24.4620011537,27.9903200192
100033,32.1487792758,41.8162610755,34.1610587908,34.2870500727
100034,41.3601269367,39.4430810313,39.7952997783,35.8871227017
100035,34.7405469864,28.6726564358,32.7025121982,28.6726564358
100036,48.1945784258,39.8642494401,39.8642494401,43.1446011913
100037,33.4901053851,32.645162096,42.0211218238,32.7745228171
100038,29.0080098421,29.0080098421,29.0080098421,29.0080098421
100039,30.7871558056,33.3351771657,30.7871558056,30.8562520398
100040,31.9276856461,32.0766695251,35.3496996698,32.0056784957
100041,22.6984107486,25.1061188589,22.6007853168,21.3444030811
100042,26.3509422994,27.3340427029,30.3724622634,26.3509422994
100043,45.9151172093,43.1449695931,40.9188842844,39.5268202138
100044,40.0892383268,40.4553581253,33.4780736202,36.4388476498
100045,21.5313002956,31.4452382485,31.4995249439,29.0213756479
100046,32.8398017655,32.8398017655,42.6512497548,32.8398017655
100047,45.4257950898,34.4907226391,40.7926335717,27.9384291394
100048,27.1705692227,27.4275022884,30.550477285,28.11220742
100049,50.3811328191,50.3811328191,50.3811328191,50.3811328191
100050,38.9194032084,42.5691089537,39.025147109,36.9655192008
100051,40.5704758209,37.1235709027,43.8686700711,37.8891244633
100052,31.1902023064,31.1902023064,40.8918458545,31.1902023064
100053,44.6357443096,26.1003701625,27.9141054537,37.8630616513
100054,34.78142216,40.9817562034,39.7805078869,48.5996492408
100055,52.0443419572,41.7385022745,52.2724554989,47.2751286628
100056,45.1606921714,40.8290378484,43.3845663079,43.481418446
100057,25.6807188582,29.4242366797,25.2156159844,23.5605347601
100058,47.7433549233,38.5293790992,35.4312004797,42.8362891619
100059,29.9928282389,32.6211977669,30.1624775736,29.722606338
100060,45.7106917991,45.7106917991,45.7779518155,45.7779518155
100061,22.4727399475,22.4727399475,22.4727399475,25.9931021829
100062,31.9162570938,29.8970258959,29.374301064,29.1900105583
100063,31.9754558974,34.7424108727,36.8647238298,37.2087504814
100064,28.9631189227,28.0247763283,34.8214643845,30.6457728948
100065,32.2421223093,27.0561841191,26.1531319801,35.4074537679
100066,30.5416860247,34.8949439965,30.7469541301,31.3005533499
100067,31.5156247048,30.5131643483,25.9393989865,25.9393989865
100068,49.6822254859,44.1849237368,44.1849237368,44.1849237368
100069,39.6855225097,32.9832889557,37.174828817,32.9832889557
100070,35.794896447,35.794896447,36.0854563766,36.0854563766
100071,35.3466256118,41.79196713,54.8401809307,44.9920100611
100072,36.3513868575,34.9769452245,33.8392307337,33.8392307337
100073,37.5065975471,33.2791390813,36.8176431429,33.1348390674
100074,25.0015895134,26.6171072187,30.3923368994,30.3923368994
100075,44.5251169415,53.7871070241,51.5680890838,41.1137382023
100076,35.6379041714,27.3252073019,26.93130028,31.9114049959
100077,24.5975279844,25.7494155616,22.6239960648,23.6799826511
100078,35.5534477621,36.3417038711,35.9864691851,35.9864691851
100079,31.8608078533,35.3491484552,38.725602658,31.8608078533
100080,31.2114034659,31.2114034659,31.2114034659,31.2114034659
100081,33.0153497363,36.4821411915,34.0040058037,32.9478947654
100082,26.0985957351,24.5779101879,30.1510727675,36.7292532825
100083,24.8181456115,30.2308229501,25.3167177609,28.7332260922
100084,32.4037558941,35.8469710327,33.6290617799,43.1406300177
100085,34.0816020036,31.904533515,30.9258233566,28.8034684393
100086,28.1854242921,30.0863714285,30.303902905,30.7977447328
100087,24.6380503565,22.3968002309,41.879113283,30.1397200591
100088,40.3601415584,40.0869362914,48.6801398985,40.0869362914
100089,46.6243154851,46.6243154851,46.8962532062,46.8962532062
100090,29.5145452124,28.9372440665,29.2675947206,22.6557779748
100091,37.4369826337,45.827484309,37.4369826337,37.3446535188
100092,36.874094635,41.0050418827,33.5619981229,40.9821112945
100093,24.7026358331,24.7026358331,24.7026358331,32.0128700284
100094,33.4255605678,33.4255605678,33.4255605678,33.4255605678
100095,51.1109291849,53.9520560494,48.8633204763,53.4106205543
100096,31.3494590714,40.2864670255,32.4560967561,32.7627991128
100097,37.523546563,37.523546563,37.6525955981,37.6525955981
100098,26.479346765,39.4020091613,31.444334157,28.0326044828
100099,23.6377457734,23.6377457734,23.4469926921,24.464042698
100100,48.5647943463,42.9166194257,48.5647943463,45.3329448095
100101,36.9021226566,37.0286002841,37.0286002841,37.0286002841
100102,38.3755027753,37.8322499272,38.3755027753,37.8322499272
100103,26.2172315432,27.3798959383,32.1740568028,29.5417785143
100104,27.1810437389,28.3100948729,27.3501575915,30.721652565
100105,34.3023230531,37.7607935607,31.4901844192,37.9890413646
100106,29.7617376906,29.5884101846,41.9868411253,29.7617376906
100107,44.4514050502,32.4532687436,33.9386564813,34.3420937836
100108,30.8441839051,30.8441839051,30.8441839051,30.8441839051
100109,32.7279947599,31.6120750172,31.3960834654,31.7974481473
100110,43.8731805896,37.9355261099,55.9183413138,42.1103842443
100111,43.4098927934,46.897459943,50.9753556356,43.0662840526
100112,36.7096922245,38.6040183402,34.701413588,34.9023157123
100113,35.015706096,35.015706096,35.015706096,34.8953689918
100114,28.3700428621,25.8375308243,25.8375308243,26.5611611408
100115,35.6735361172,35.6735361172,35.8812219555,36.0615077771
100116,27.9280401421,27.7203464072,27.8653656964,34.5950680986
100117,40.7990584471,35.2672350072,32.0130345216,32.0130345216
100118,23.7834261413,34.9485151093,42.9571928899,32.8114559665
100119,27.2356221911,25.0376802224,39.7425224614,28.0072213133
100120,31.5600660068,28.5673704447,28.5673704447,31.5128052301
100121,30.721732064,30.721732064,28.0984702908,27.3070236712
100122,32.9630371706,31.5418088868,35.2509461542,38.6732283106
100123,36.579926371,41.8087287693,36.6703388765,36.7525873377
100124,23.2585687388,22.8742101826,26.2787883823,21.4919294534
100125,40.043463537,38.7752051646,38.7752051646,38.7752051646
100126,24.6237525409,24.6367967448,29.6663931033,24.4523522431
100127,35.3182750362,35.3599898256,35.3182750362,37.2824978333
100128,22.378597292,26.6015552758,22.5604470783,26.4375769356
100129,28.4943367011,30.3186970714,28.7406174584,26.2338082402
100130,26.5346605141,21.6627378704,28.732099896,26.6371382633
100131,22.8232342506,22.0491796031,22.0491796031,28.2014058315
100132,43.7079662827,45.5291951524,44.1370633875,50.8162523669
100133,42.8708260473,34.5058066051,38.7038653028,33.8509200422
100134,37.2314882405,38.9560982735,37.0992621653,35.9496774286
100135,24.5684720052,22.7086139341,28.1218554789,24.5763405361
100136,31.689268931,34.9760480494,37.8881319445,36.6728338831
100137,37.9617717839,41.7259709453,38.1693331384,35.3436164912
100138,30.3041690173,30.3041690173,30.3041690173,30.4808256649
100139,34.257879677,40.35771747,38.355261538,41.0750299824
100140,33.8945424806,33.9580718661,35.2546117841,33.8945424806
100141,22.0236691486,24.8207318865,40.3308655344,26.2347664353
100142,22.4192822046,21.0849318762,36.9670874708,21.0849318762
100143,31.879060891,31.879060891,37.2849467628,31.3970357065
100144,43.4767319296,30.9460298142,42.1295163086,41.4839523066
100145,29.0535685919,36.7622934767,29.1854522193,24.0698913117
100146,26.7547624543,26.7547624543,31.1726895279,31.1726895279
100147,42.3547951687,43.0251914085,47.9620671133,47.4303883999
100148,28.9108487098,23.9956242267,24.2557377799,28.0906838398
100149,29.8508464347,29.8508464347,33.8897098874,30.2125853411
100150,34.3503797313,27.089358728,39.3371523911,38.3762807151
100151,30.3183935952,30.1627285255,25.5571884374,30.6485438643
100152,34.1834454297,34.2801411417,30.473006761,33.0388900444
100153,36.8392188823,35.0089990486,35.2192346408,38.690819663
100154,27.9448028754,37.7124621,35.8471880354,27.9448028754
100155,35.1598825768,43.9540290665,35.6020836803,38.2031358224
100156,28.9903152648,36.5454028436,28.9903152648,29.2284158196
100157,30.9626308784,31.1237056383,31.0471597159,30.9626308784
100158,32.2139363114,31.981596868,32.2139363114,32.4002062163
100159,26.7869297895,26.7869297895,26.7869297895,26.7869297895
100160,20.3548666409,24.0228561777,17.4656482169,22.9579744091
100161,34.692799304,30.6978299306,36.9123126831,31.8622450982
100162,44.2862586066,48.7655421673,44.2862586066,44.2862586066
100163,23.6448204509,25.1995409313,25.3720935408,21.6029688529
100164,36.9648089341,43.4947470945,36.9648089341,40.5355040497
100165,43.3353614441,43.432268832,43.3353614441,48.032238531
100166,36.9193840725,36.9193840725,36.9193840725,36.9193840725
100167,29.2304313995,29.2127335476,32.7095501377,27.8226830153
100168,22.3643996339,23.6458323771,31.6361827138,26.2124044741
100169,33.1483276349,26.9779383507,26.9779383507,26.9779383507
100170,33.036329815,33.2925612661,31.8434279073,34.2231271746
100171,29.3395122201,33.0089523748,33.4101676055,38.4989641966
100172,38.0515728915,38.0515728915,44.8606304036,38.746070888
100173,63.8348979448,70.9750128918,66.9337636755,63.4724705669
100174,33.4421857836,34.1658332157,38.023141014,33.9307627639
100175,27.5399125498,28.7579643714,28.5349083544,29.1535956668
100176,39.7803627276,42.8609114403,42.8609114403,44.0723384314
100177,42.9400104433,43.1280835437,43.5744842563,43.6937503257
100178,24.0121531019,21.8172114289,24.0560049935,31.7897886256
100179,34.9215697407,34.9215697407,39.4010277283,51.9647636868
100180,36.5812270193,34.9739495566,39.3046401662,34.87883806
100181,38.5096370742,38.5096370742,38.8212736676,47.2724965734
100182,30.6803518896,30.1665417397,31.4625459475,31.13621976
100183,40.3261238911,33.8300657342,33.8300657342,33.8300657342
100184,57.3776446509,49.1297686917,57.3776446509,57.3776446509
100185,35.4762738819,41.0092231802,41.2905158276,39.1500244355
100186,31.8628182931,27.6160480161,27.7955889981,25.9756136736
100187,46.9589628474,48.4293312527,46.9285297367,48.127125709
100188,23.6704453584,26.1343358796,29.475999669,23.6704453584
100189,22.5707347141,19.4716382594,26.4767961988,26.2447494525
100190,41.8576995047,41.8576995047,42.070866196,42.070866196
100191,34.0883509448,37.9525188034,38.8961770929,38.5486733343
100192,28.7298277685,24.7221388094,28.3609686408,23.7219235712
100193,38.9010666025,41.6079728071,36.0455925563,29.9974955091
100194,36.8803430546,30.82063445,36.9875897314,30.82063445
100195,39.8523058296,43.6928073723,38.3551169274,38.7538022576
100196,28.4186889879,35.4607709252,35.4607709252,28.4186889879
100197,21.7676034131,23.6106992528,33.0453048703,24.5680422487
100198,27.0487227691,27.0487227691,27.2331260374,32.7619355986
100199,48.0419475224,45.1837812566,36.7340730657,38.420017682
100200,31.925713963,24.3790954336,32.1373904831,27.130065172
100201,27.6694650066,28.3970293842,27.254784346,21.8801212052
100202,31.237204443,30.096670398,32.5170153657,25.5303347104
100203,28.6402801618,36.1115707784,35.7938821813,28.2319858513
100204,33.2343361735,38.0457489355,38.110991381,33.7982242216
100205,31.6030790201,25.7459486025,26.0580710757,32.1929171629
100206,25.6481245364,24.6597374241,25.8556742083,29.2320924343
100207,40.8621114241,40.8621114241,38.2062991754,43.5986009899
100208,38.7940008879,38.3763661084,29.711313209,29.711313209
100209,29.6604933868,29.5106449241,29.5106449241,33.1860181843
100210,25.8591188488,23.6399625813,40.1862073417,24.7755886073
100211,39.7179718789,35.8375610692,36.2074963438,36.2758399624
100212,40.0998494448,38.3858734706,32.283474834,34.8566932506
100213,47.6364374246,49.3665246551,47.3702809004,49.9702549219
100214,47.4653552427,47.4653552427,45.3111648107,45.3111648107
100215,29.7789480451,30.1007346276,31.6948084198,32.7965994648
100216,25.5095407347,32.487972411,27.4306922975,23.4975667838
100217,50.4624683644,50.4624683644,50.4624683644,40.7106384684
100218,33.013573764,31.3626232273,27.3267471572,27.3267471572
100219,26.1642146926,21.9800741439,16.1958148968,24.0547972439
100220,53.0340285098,53.0340285098,53.0340285098,53.0340285098
100221,25.8105223264,28.4229567605,33.0666522403,28.1948463218
100222,23.9765419029,24.4830657443,24.7496774252,24.9512862126
100223,38.1539835687,38.925648702,40.1781441432,38.3082440999
100224,26.6006024607,27.3388746794,28.5423999866,25.1211192627
100225,26.9802907462,27.0869077625,29.7912080065,28.1538999321
100226,32.7937107926,32.7937107926,29.4003066524,29.6225826244
100227,48.1091477452,44.3199764528,44.3199764528,44.3199764528
100228,47.4414904634,58.1271628664,53.3388419817,44.6795966094
100229,27.599133434,24.0507632884,23.8843698134,25.6800439723
100230,23.1678941143,25.4151412212,24.3617337826,23.6320860241
100231,31.7289446905,30.2867754546,30.4623538868,30.3791501351
100232,54.2925365724,54.3940336987,59.104998281,54.3940336987
100233,35.4581980229,35.9579885415,34.4846748297,34.152009197
100234,45.6445097352,43.7448308264,40.2182323982,43.1061404766
100235,28.3215589687,30.2623170808,29.4500150066,33.2481942671
100236,23.8937474478,22.3212751728,21.8838345048,26.5529699571
100237,24.3320370208,24.3320370208,25.5841425232,26.6121935622
100238,23.6817476758,27.7386916624,33.8346932711,27.5148860416
100239,31.7868783849,30.0816088474,35.2847377028,28.6012325661
100240,31.026062774,31.3753361356,31.3102675707,31.026062774
100241,66.2355461867,67.3343879076,63.1749042442,66.2355461867
100242,35.9475169151,31.3335445416,31.5831159892,28.9234132628
100243,25.8365697716,25.8365697716,25.8365697716,25.8365697716
100244,32.0319947208,34.4166202128,32.0319947208,34.6570417425
100245,32.8981718792,35.0586490608,34.2794444814,40.2065319741
100246,40.5359487484,40.6461830533,47.0654837972,31.7229068858
100247,23.1587211894,20.0365982706,30.5583846013,25.7092610529
100248,24.5956215335,21.4237482354,22.636321118,24.9997861167
100249,23.5569211187,22.6189133485,21.917202785,18.2012323047
100250,28.3902948723,24.1587423286,33.9632252621,24.9756301864
100251,36.1281828319,40.3862466765,31.4675720348,31.4675720348
100252,45.0471775712,45.0471775712,45.0471775712,45.0471775712
100253,49.5981896944,39.786551455,41.9626254935,40.1131704677
100254,34.8663558732,28.5843250308,31.2891949007,29.4192118395
100255,24.5236723832,27.5363419202,30.7615067806,28.6717530357
100256,32.0815878508,35.1819509669,34.3000982412,29.9160987554
100257,22.0715993377,23.7746459494,22.0715993377,24.7739910439
100258,63.1863288778,63.7765770244,67.0660122447,67.0660122447
100259,38.9055154478,39.3555861944,39.7385471246,38.9055154478
100260,29.9972854876,29.9972854876,29.9972854876,33.036023961
100261,28.1222560722,32.6713620808,27.698930963,28.1222560722
100262,29.9434670735,27.7693493261,36.1981144363,27.2983363179
100263,30.9547362258,32.6926550491,27.6569889943,29.9340373893
100264,41.448700582,41.448700582,47.5053035164,47.9254683416
