id,qA,qB,qC,qD
102501,25.2426454819,24.8736940016,27.3173772892,25.0732439108
102502,25.8285741108,25.8285741108,26.8999006679,25.8285741108
102503,22.1687586583,29.7451261388,20.4280449783,22.7047294801
102504,23.2755009391,24.9369920934,26.6261729168,26.0114406955
102505,19.7369805451,19.4817082508,19.1166766261,26.1999461726
102506,25.8187349321,26.0753977331,26.2896003646,25.8187349321
102507,27.5877117345,27.2445146387,30.7951248588,27.2445146387
102508,38.915810871,28.3740974811,30.6322839703,27.3832877303
102509,22.3965582248,32.8392245771,24.5075804976,24.2826810103
102510,26.5237532679,25.9745396084,25.9745396084,25.7188853887
102511,32.2229934894,23.9396640472,23.7745952959,26.147415397
102512,27.889652677,31.1633784845,28.2177218101,29.5474236085
102513,25.2973101891,24.8060479256,26.4132784857,31.6639546918
102514,22.044410488,22.044410488,22.044410488,22.2022125208
102515,23.0340024643,22.4675946658,23.1692469664,28.7959847185
102516,25.5306766879,22.5130524886,20.5779203593,20.5779203593
102517,24.0902320673,23.5882261839,23.5455531033,22.2685210129
102518,25.3708425078,25.1642329164,25.1642329164,25.1642329164
102519,22.4743432062,26.9201017904,21.470674497,21.470674497
102520,28.8227526684,24.1841068861,23.994616467,26.510290713
102521,37.0462539647,33.7142328874,33.0917698194,34.9938234874
102522,33.1045304851,33.4117027981,33.3200342297,33.3200342297
102523,29.81683651,21.8825308668,29.7000643322,21.8825308668
102524,25.8276022407,26.1690193528,20.4099579867,24.3159062343
102525,19.6217715333,19.6217715333,20.6633125639,19.6217715333
102526,20.5163158238,21.3542435832,21.1865055373,23.3520927966
102527,26.8355645952,23.2898410318,36.1146163357,21.8761688861
102528,29.4406376921,29.4406376921,29.0828010164,30.1858414657
102529,29.4334741222,31.3283361368,27.0544806271,29.0484834999
102530,23.342585523,23.8403699834,23.1592170067,23.057489577
102531,20.3024054127,25.2712545526,20.3024054127,29.4615096844
102532,36.0629194765,34.1605444071,34.1605444071,34.1605444071
102533,27.4496868995,27.7228239628,28.3530696876,27.4496868995
102534,27.6918143932,19.6557843264,19.6557843264,19.2667095774
102535,20.14889338,20.14889338,22.4155904299,20.14889338
102536,20.2583995509,20.2583995509,20.8294094634,20.2583995509
102537,20.2330807452,20.5510137147,19.0919043083,23.3698055371
102538,24.9634081384,24.2196085223,24.5166552918,24.2196085223
102539,24.3292109188,21.3766750042,20.1547442856,27.5982238599
102540,83.441806861,83.441806861,81.1506622619,83.5055071871
102541,20.6145286987,27.5051438552,24.3066968967,20.6145286987
102542,25.8977477431,26.3050405939,30.3395995975,34.4568415336
102543,23.2255508081,23.7665310353,25.690116244,25.690116244
102544,19.2764955158,20.8082386482,31.9376378251,29.4737680963
102545,38.6422583372,38.6422583372,38.7375862929,52.1269724914
102546,23.7656809988,33.3918186457,25.0952907991,24.7399668426
102547,24.4004433544,21.9979202095,22.1665275639,20.3573862402
102548,35.1947520781,35.1477333263,31.5136241198,31.5136241198
102549,36.1302979776,36.0073409169,36.2404159525,36.4294155012
102550,26.0480379946,27.0987450318,27.4898493191,23.7432801476
102551,33.8835184331,25.8764322905,25.5654121442,25.5654121442
102552,22.1811333245,21.3877111617,21.3877111617,20.9572591137
102553,27.0478168299,29.1225650545,32.1671049885,20.3337118644
102554,56.1737965613,56.2358332816,56.2940063358,56.2358332816
102555,24.8554200957,23.5259146188,26.6810677712,21.4870972788
102556,22.4254640918,19.2009326136,23.1549225296,24.1282996855
102557,28.3076817283,27.8072512089,35.1483784653,28.3076817283
102558,28.3300597319,26.8289360141,26.8289360141,27.2435549606
102559,31.219301399,26.7741329462,22.5149865866,28.3396365428
102560,28.0561193493,24.9623672491,29.7746953116,24.9623672491
102561,23.013553014,23.013553014,23.013553014,23.013553014
102562,34.2458689208,34.9649811815,34.2960291326,34.2960291326
102563,23.1788130832,24.6696400876,21.9869377374,24.5428669133
102564,34.9424711674,34.6012288085,36.0141089366,34.6012288085
102565,27.1776033481,27.1776033481,33.1441029917,26.9575952455
102566,21.5883242465,30.9403767273,21.5883242465,21.5883242465
102567,19.2688378197,21.2799839994,23.6127338271,18.1058658587
102568,36.0320073398,24.2353980317,28.5707517775,34.6467559456
102569,23.8834853253,23.8834853253,23.8834853253,23.8834853253
102570,24.8975283836,27.9168143994,24.8975283836,25.0429339742
102571,27.5796601799,27.8096226598,27.7406039399,27.5796601799
102572,39.9645667311,23.6984294439,23.4655363259,34.762965031
102573,26.6812041446,26.8135662987,26.6812041446,34.2850845487
102574,22.5968194099,27.3909661718,30.8275475546,27.7959530897
102575,30.0193179485,30.4835597126,30.8560567035,30.4835597126
102576,23.9032624841,28.5708099621,24.2762846946,23.9032624841
102577,26.9126227151,20.1114471715,19.1623640622,19.1623640622
102578,30.1818054848,25.1831974349,33.8885518148,25.1831974349
