id,qA,qB,qC,qD
100001,64.0165144881,58.5167295439,61.9530417842,58.7132936611
100002,38.0233478992,25.4661168114,30.0506998746,25.5410700888
100003,70.3535417514,70.8535994863,74.7375082085,74.3008017503
100004,36.9224211912,36.0874929031,39.4461036337,40.6702899234
100005,38.8981115553,39.4131263351,41.0524240149,42.7777468585
100006,57.1628109346,62.8507332487,60.4260296448,63.2768858845
100007,34.3401706229,30.3137253731,31.2733164546,30.8261645512
100008,25.6552817265,33.5998742726,25.2783618936,26.0679287729
100009,40.6713734548,33.7468874066,33.7468874066,34.2865872538
100010,64.3982493652,59.72741517,65.7690718323,59.5637400771
100011,62.8348389606,63.1308152491,68.0664879579,67.583689551
100012,28.6995545476,28.5251697263,35.2977994935,34.7729070833
100013,83.2003875704,84.3984320119,76.2554188604,79.9849429673
100014,50.9392694593,58.0405608842,54.1083080592,51.9280953196
100015,69.2017717221,72.2878793648,63.865006381,63.054689907
100016,31.3403249174,30.4562238679,30.6523600624,33.0053348475
100017,62.269431806,55.9686098929,67.2319439048,69.1691779304
100018,75.536921314,71.3298970461,71.4619998413,71.4619998413
100019,48.1261962494,47.9449648131,39.9791690599,44.1776323506
100020,43.9188047405,49.8644469687,48.3185980524,45.3806754743
100021,103.168179941,107.30897899,105.361367792,107.77734153
100022,38.7708039644,38.0631653587,39.1001199153,38.3805714243
100023,50.0777047222,44.7168375601,63.6061582447,39.6797686378
100024,57.802610113,63.6515716561,55.0595808404,58.1697600583
100025,32.3743384454,31.6965458466,36.6143234923,32.267807757
100026,103.881647572,106.53949188,112.130623112,112.208145608
100027,39.2940304393,31.9157247202,33.1894714013,32.3218541747
100028,44.7924220378,46.1991455589,46.8343938739,44.8292678722
100029,49.3979639526,60.1190135176,52.136785163,50.4814009084
100030,60.901017833,64.034594499,63.2746866294,64.3444017839
100031,45.047353345,53.1870482486,44.9137829325,52.1812616244
100032,31.6205837497,30.2424031887,35.847964172,31.9532944608
100033,53.7030644872,53.7385729302,43.8675928755,53.1879696238
100034,77.9442824649,55.2284649442,58.7584289228,60.4221146712
100035,31.5118649471,34.4429029317,38.1317910219,33.0727651733
100036,46.1069950559,39.9979570243,40.1762484478,40.8493719953
100037,51.6685672896,51.617313092,61.086593234,55.1529023655
100038,54.2682610648,54.2682610648,54.2682610648,54.2682610648
100039,57.6815991851,61.8151600705,59.8919986823,65.3233839587
100040,56.4049411715,66.1552130008,69.0494558671,70.6745665593
100041,29.9298249364,29.9002923159,27.8830319627,25.6002220302
100042,35.2231038313,35.0099001308,36.0999718257,32.4521799642
100043,72.6133685303,61.3396156719,64.4794878391,61.0347325918
100044,73.7236296157,65.7303860399,55.6229522296,59.2364431485
100045,23.8457432738,32.3158647672,34.5008260466,35.5214411942
100046,45.9825456974,50.181084752,52.6618844331,52.1815464088
100047,71.212933079,66.8082798342,66.5311137568,49.3869714057
100048,34.3706298779,34.4249380962,37.7267294497,39.9700294648
100049,69.8729521032,69.8729521032,69.8729521032,69.8729521032
100050,88.0926168507,80.9546453804,88.3325874585,85.9640047003
100051,71.925131998,78.0326498325,74.5803703741,82.7699363336
100052,47.1994183335,46.2539013121,51.8627388614,49.907987732
100053,61.3302510636,32.2321733849,41.7910680861,64.8116599677
100054,47.2255892964,48.0995896053,46.9973884518,49.7572553424
100055,55.1282420043,53.4253213579,61.1729086607,60.4723874404
100056,83.9133745528,76.9550612458,84.9428159012,82.2411151172
100057,39.0170303263,43.2305097895,31.4914821517,43.6411649487
100058,78.8518205463,67.3099494435,64.9299108432,70.9621373777
100059,54.510244639,56.6470751741,49.6052049825,66.8587500287
100060,66.97909101,69.7528434065,69.7176573355,67.5538204428
100061,28.242157661,31.6447356414,31.8483610688,29.5762957317
100062,47.7213393289,44.5472443968,45.3757674403,43.5853438782
100063,76.4273247948,76.7052122264,76.3467023248,78.1871431754
